Name,Age,Salary,Gender,Department,Position,"Joining Date","Performance Score",Email,"Phone Number"
Grace,25,50000,Male,HR,Manager,2018-04-05,D,email@example.com,NULL
David,NULL,65000,Famale,Finance,Director,2020-02-20,F,user@domain.com,123-456-7890
Hannah,35,60000,Famale,Sales,Director,2020-01-15,C,email@example.com,098-765-4321
Eve,NULL,50000,Famale,IT,Manager,2018-04-05,A,name@company.org,NULL
Grace,NULL,NULL,Famale,Finance,Manager,2020-01-15,F,name@company.org,098-765-4321
Jack,NULL,65000,NULL,Marketing,Director,2019-03-25,F,user@domain.com,NULL
Charlie,NULL,50000,Male,Marketing,Clerk,2019-12-01,B,,123-456-7890
Grace,40,50000,NULL,HR,Director,2019-03-25,C,,NULL
Hannah,40,60000,Famale,Marketing,Manager,2020-01-15,C,user@domain.com,123-456-7890
Eve,30,NULL,NULL,Finance,Assistant,2020-02-20,A,,NULL
David,25,70000,Male,Marketing,Analyst,2019-12-01,B,NULL,123-456-7890
Hannah,NULL,70000,NULL,Finance,Assistant,2019-03-25,A,,NULL
Hannah,30,50000,Male,IT,Assistant,2018-04-05,D,,NULL
Charlie,25,55000,NULL,HR,Manager,2020-02-20,F,,555-555-5555
Frank,50,NULL,Male,Marketing,Director,2019-03-25,A,NULL,123-456-7890
Eve,35,65000,Male,Finance,Clerk,2018-04-05,F,,123-456-7890
Bob,40,55000,Famale,Sales,Assistant,2020-01-15,B,NULL,098-765-4321
Hannah,50,55000,Male,HR,Director,2018-04-05,D,user@domain.com,NULL
Frank,25,NULL,Famale,IT,Clerk,2019-03-25,B,email@example.com,555-555-5555
Bob,50,50000,Famale,Finance,Assistant,2019-03-25,D,user@domain.com,NULL
Eve,35,50000,Famale,IT,Clerk,2020-01-15,D,email@example.com,098-765-4321
Alice,25,50000,NULL,IT,Director,2018-04-05,F,user@domain.com,555-555-5555
Jack,50,50000,NULL,Marketing,Analyst,2018-04-05,B,email@example.com,NULL
Frank,40,70000,NULL,Marketing,Director,2020-01-15,B,email@example.com,555-555-5555
Ivy,40,50000,NULL,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890
Alice,30,70000,Male,Sales,Clerk,2020-01-15,B,email@example.com,123-456-7890
Jack,50,70000,Male,Finance,Analyst,2020-02-20,A,email@example.com,098-765-4321
Charlie,NULL,50000,NULL,Sales,Clerk,2019-03-25,C,name@company.org,NULL
Grace,50,60000,Male,IT,Clerk,2020-02-20,C,,NULL
David,25,65000,Male,HR,Assistant,2019-12-01,C,,555-555-5555
Ivy,25,55000,Famale,Finance,Manager,2019-12-01,B,name@company.org,098-765-4321
Charlie,50,70000,Famale,Finance,Clerk,2019-12-01,B,NULL,NULL
Eve,35,NULL,Famale,Sales,Director,2020-01-15,A,email@example.com,123-456-7890
Charlie,40,NULL,Famale,IT,Director,2018-04-05,D,email@example.com,555-555-5555
Grace,25,65000,Male,IT,Assistant,2020-02-20,A,name@company.org,NULL
Eve,40,NULL,NULL,Sales,Manager,2020-02-20,C,name@company.org,123-456-7890
Ivy,25,60000,Male,IT,Manager,2020-02-20,A,NULL,098-765-4321
Grace,30,NULL,Male,Marketing,Director,2020-02-20,D,,NULL
Bob,NULL,55000,Male,HR,Analyst,2019-12-01,B,user@domain.com,123-456-7890
David,25,55000,Famale,Finance,Assistant,2020-02-20,A,,NULL
Ivy,40,70000,Famale,HR,Assistant,2018-04-05,C,email@example.com,NULL
Bob,30,50000,Famale,Finance,Director,2019-12-01,C,name@company.org,098-765-4321
Jack,25,60000,NULL,Marketing,Director,2020-02-20,B,NULL,123-456-7890
Ivy,35,70000,Male,IT,Analyst,2020-01-15,A,,555-555-5555
Jack,NULL,60000,NULL,Sales,Analyst,2019-03-25,D,NULL,123-456-7890
Eve,25,50000,Famale,Marketing,Manager,2019-03-25,B,,NULL
Bob,30,NULL,NULL,HR,Assistant,2019-03-25,A,email@example.com,098-765-4321
David,35,NULL,Male,Sales,Assistant,2019-12-01,F,user@domain.com,098-765-4321
Grace,50,50000,Male,IT,Director,2020-02-20,C,NULL,555-555-5555
Hannah,30,70000,Famale,Marketing,Manager,2019-12-01,D,NULL,098-765-4321
Charlie,30,50000,Famale,Sales,Assistant,2018-04-05,D,user@domain.com,098-765-4321
Alice,35,65000,NULL,Marketing,Manager,2020-01-15,D,NULL,098-765-4321
David,30,55000,Famale,Marketing,Manager,2020-01-15,C,NULL,098-765-4321
Bob,35,70000,Famale,IT,Director,2019-03-25,A,,098-765-4321
Hannah,25,60000,Male,Finance,Manager,2019-03-25,B,,NULL
David,35,65000,Famale,Sales,Analyst,2019-03-25,A,user@domain.com,123-456-7890
Bob,35,70000,Famale,IT,Analyst,2020-02-20,B,email@example.com,NULL
Frank,NULL,50000,Male,Marketing,Clerk,2018-04-05,D,NULL,098-765-4321
Frank,35,50000,Male,IT,Director,2018-04-05,A,email@example.com,NULL
Jack,35,50000,NULL,Finance,Clerk,2018-04-05,D,user@domain.com,NULL
David,50,50000,Famale,Sales,Analyst,2018-04-05,F,user@domain.com,NULL
Frank,25,60000,Male,Finance,Clerk,2019-03-25,D,,098-765-4321
Bob,NULL,65000,NULL,HR,Director,2020-01-15,D,NULL,NULL
Jack,50,NULL,NULL,Sales,Director,2019-03-25,B,name@company.org,098-765-4321
Bob,40,55000,Famale,Finance,Manager,2018-04-05,F,user@domain.com,555-555-5555
Jack,25,60000,Famale,Marketing,Assistant,2019-03-25,D,NULL,555-555-5555
David,25,60000,NULL,Sales,Manager,2018-04-05,D,email@example.com,555-555-5555
Hannah,40,NULL,Male,Sales,Director,2019-12-01,F,,NULL
Grace,35,NULL,NULL,IT,Analyst,2020-01-15,F,email@example.com,555-555-5555
Ivy,50,55000,Famale,Marketing,Analyst,2019-12-01,A,user@domain.com,NULL
Hannah,30,55000,Male,HR,Manager,2020-02-20,B,user@domain.com,NULL
Eve,NULL,NULL,Male,Finance,Director,2019-03-25,F,email@example.com,NULL
Bob,30,50000,NULL,IT,Analyst,2020-02-20,F,user@domain.com,098-765-4321
Eve,40,60000,Famale,Finance,Director,2019-03-25,C,NULL,123-456-7890
Hannah,25,70000,NULL,HR,Analyst,2019-12-01,F,user@domain.com,098-765-4321
Jack,25,55000,NULL,HR,Director,2018-04-05,B,,098-765-4321
Ivy,NULL,55000,NULL,Sales,Clerk,2018-04-05,D,NULL,098-765-4321
Ivy,25,NULL,Male,HR,Director,2019-03-25,D,name@company.org,098-765-4321
Alice,25,65000,Male,Finance,Director,2018-04-05,D,user@domain.com,123-456-7890
Ivy,NULL,70000,Famale,Marketing,Manager,2019-12-01,D,user@domain.com,555-555-5555
Grace,50,70000,Famale,Marketing,Clerk,2018-04-05,C,,098-765-4321
Ivy,50,55000,NULL,Sales,Assistant,2019-12-01,F,,NULL
Hannah,NULL,50000,NULL,Finance,Manager,2020-02-20,D,email@example.com,NULL
Alice,40,65000,NULL,Finance,Assistant,2019-12-01,A,email@example.com,NULL
Hannah,25,70000,Famale,HR,Analyst,2020-01-15,D,email@example.com,NULL
Hannah,25,55000,Male,Finance,Assistant,2020-01-15,F,,098-765-4321
Charlie,40,70000,Male,IT,Director,2020-01-15,D,email@example.com,123-456-7890
Alice,50,65000,NULL,HR,Assistant,2019-03-25,C,email@example.com,555-555-5555
Hannah,35,65000,NULL,IT,Manager,2019-03-25,B,name@company.org,NULL
Charlie,35,60000,NULL,Sales,Manager,2019-03-25,B,email@example.com,555-555-5555
Charlie,35,NULL,NULL,Marketing,Assistant,2019-12-01,F,user@domain.com,123-456-7890
Alice,50,NULL,Famale,Sales,Manager,2019-03-25,B,,NULL
Eve,50,55000,Male,Marketing,Manager,2020-02-20,B,NULL,555-555-5555
Jack,40,65000,NULL,Sales,Assistant,2020-01-15,A,name@company.org,123-456-7890
Grace,25,60000,Famale,Finance,Clerk,2019-12-01,F,,555-555-5555
Jack,40,60000,NULL,IT,Clerk,2020-01-15,F,,098-765-4321
Ivy,40,70000,NULL,Marketing,Analyst,2019-03-25,B,user@domain.com,123-456-7890
Grace,50,70000,Male,HR,Manager,2019-12-01,B,email@example.com,555-555-5555
Ivy,35,60000,NULL,IT,Assistant,2018-04-05,B,user@domain.com,098-765-4321
Hannah,30,70000,Male,HR,Manager,2020-02-20,C,email@example.com,098-765-4321
Bob,25,65000,Male,IT,Director,2019-03-25,D,email@example.com,123-456-7890
Alice,50,50000,Male,IT,Manager,2019-03-25,C,,NULL
Grace,35,65000,Famale,Sales,Manager,2020-02-20,F,email@example.com,NULL
Grace,30,60000,Famale,Marketing,Clerk,2020-02-20,A,name@company.org,123-456-7890
Hannah,30,60000,Male,Marketing,Assistant,2018-04-05,D,name@company.org,098-765-4321
Eve,50,65000,NULL,IT,Manager,2019-03-25,A,name@company.org,098-765-4321
Charlie,NULL,70000,Male,Finance,Clerk,2019-03-25,F,,123-456-7890
Hannah,25,70000,NULL,Finance,Analyst,2020-01-15,F,user@domain.com,NULL
Frank,30,NULL,Male,HR,Clerk,2019-12-01,A,NULL,NULL
Charlie,50,60000,NULL,HR,Clerk,2019-12-01,A,email@example.com,555-555-5555
Alice,50,55000,Famale,Sales,Clerk,2020-01-15,A,NULL,123-456-7890
Charlie,35,NULL,NULL,IT,Manager,2019-12-01,F,user@domain.com,NULL
Eve,NULL,70000,Male,HR,Manager,2020-02-20,B,user@domain.com,NULL
Charlie,25,65000,Famale,HR,Analyst,2019-12-01,A,,098-765-4321
Alice,40,70000,NULL,IT,Director,2019-12-01,D,name@company.org,555-555-5555
Eve,35,65000,NULL,Sales,Director,2020-01-15,F,name@company.org,123-456-7890
Jack,30,NULL,NULL,HR,Director,2018-04-05,C,user@domain.com,098-765-4321
Grace,30,60000,NULL,Sales,Analyst,2019-12-01,C,,098-765-4321
Grace,35,70000,NULL,Marketing,Director,2019-12-01,D,,NULL
Ivy,50,65000,Famale,Sales,Director,2018-04-05,B,email@example.com,NULL
Jack,30,60000,Famale,Finance,Clerk,2020-01-15,A,name@company.org,123-456-7890
Jack,NULL,55000,Famale,Finance,Manager,2018-04-05,F,user@domain.com,123-456-7890
Charlie,25,65000,Famale,Sales,Manager,2020-01-15,A,NULL,123-456-7890
Grace,NULL,NULL,Male,Finance,Clerk,2020-02-20,F,name@company.org,098-765-4321
Alice,30,55000,Famale,Marketing,Clerk,2020-01-15,C,email@example.com,NULL
David,40,55000,NULL,IT,Clerk,2020-02-20,A,,555-555-5555
David,25,50000,NULL,Finance,Manager,2020-02-20,D,user@domain.com,098-765-4321
Eve,25,70000,Famale,Finance,Director,2020-01-15,B,name@company.org,555-555-5555
Grace,35,65000,NULL,Sales,Clerk,2019-03-25,D,NULL,NULL
Grace,35,55000,Famale,Marketing,Analyst,2020-01-15,B,email@example.com,NULL
David,40,50000,NULL,IT,Clerk,2019-12-01,A,email@example.com,123-456-7890
Grace,50,NULL,Male,Sales,Assistant,2019-12-01,A,name@company.org,555-555-5555
Charlie,25,60000,Male,Sales,Clerk,2019-03-25,B,NULL,098-765-4321
Frank,40,65000,Famale,Marketing,Manager,2020-02-20,C,email@example.com,555-555-5555
Bob,35,55000,Famale,IT,Clerk,2019-03-25,F,user@domain.com,NULL
Jack,35,70000,Famale,Marketing,Assistant,2019-12-01,D,email@example.com,123-456-7890
Ivy,25,50000,NULL,IT,Analyst,2019-03-25,D,NULL,555-555-5555
Eve,NULL,55000,Famale,Marketing,Director,2020-01-15,D,,NULL
Frank,30,70000,Male,Sales,Clerk,2019-03-25,A,,098-765-4321
David,35,55000,NULL,Sales,Assistant,2020-02-20,D,name@company.org,NULL
Jack,50,65000,Famale,HR,Assistant,2020-01-15,F,NULL,098-765-4321
Grace,50,65000,NULL,Finance,Analyst,2018-04-05,F,email@example.com,123-456-7890
Ivy,35,65000,NULL,Marketing,Manager,2019-12-01,B,email@example.com,098-765-4321
Grace,NULL,NULL,Famale,HR,Clerk,2019-12-01,A,,098-765-4321
Alice,NULL,NULL,NULL,Finance,Assistant,2019-03-25,F,,098-765-4321
Alice,40,50000,Male,Marketing,Analyst,2020-01-15,C,user@domain.com,098-765-4321
Ivy,50,65000,Male,IT,Director,2018-04-05,A,,123-456-7890
Ivy,40,70000,NULL,Finance,Assistant,2020-01-15,A,user@domain.com,NULL
David,50,55000,Famale,Sales,Analyst,2019-12-01,F,email@example.com,555-555-5555
Ivy,30,60000,NULL,HR,Manager,2020-01-15,C,user@domain.com,NULL
Charlie,30,70000,Male,Finance,Manager,2018-04-05,B,user@domain.com,555-555-5555
Grace,25,NULL,NULL,Finance,Assistant,2019-03-25,F,name@company.org,555-555-5555
Frank,40,NULL,NULL,Sales,Assistant,2020-02-20,C,,NULL
Hannah,35,70000,Male,Marketing,Clerk,2020-01-15,A,user@domain.com,123-456-7890
Ivy,40,NULL,NULL,IT,Analyst,2020-02-20,C,email@example.com,NULL
Eve,35,65000,NULL,Sales,Assistant,2019-12-01,A,NULL,123-456-7890
Alice,NULL,50000,Famale,IT,Clerk,2019-03-25,F,user@domain.com,555-555-5555
Charlie,40,55000,Famale,Marketing,Clerk,2019-03-25,F,,123-456-7890
Jack,NULL,50000,Male,Finance,Assistant,2020-01-15,D,name@company.org,NULL
Hannah,30,55000,Male,IT,Manager,2019-03-25,D,email@example.com,NULL
Frank,30,55000,Male,HR,Analyst,2020-01-15,D,name@company.org,NULL
Hannah,25,50000,Famale,HR,Analyst,2020-01-15,F,NULL,555-555-5555
Ivy,40,70000,Male,Sales,Manager,2020-02-20,B,user@domain.com,NULL
David,NULL,55000,Male,Marketing,Assistant,2019-03-25,F,user@domain.com,555-555-5555
Alice,35,50000,Male,Sales,Analyst,2020-01-15,C,,NULL
Alice,30,55000,Famale,Sales,Assistant,2020-02-20,F,user@domain.com,555-555-5555
Jack,30,60000,NULL,Sales,Assistant,2018-04-05,F,email@example.com,NULL
David,35,70000,Male,HR,Clerk,2020-02-20,A,NULL,NULL
Grace,NULL,65000,NULL,HR,Manager,2020-02-20,A,name@company.org,555-555-5555
Bob,NULL,55000,Male,Sales,Assistant,2020-01-15,A,NULL,NULL
Charlie,40,60000,NULL,HR,Director,2019-12-01,F,user@domain.com,NULL
Alice,40,65000,Famale,Marketing,Manager,2019-12-01,B,name@company.org,555-555-5555
Eve,50,65000,Famale,Sales,Analyst,2019-12-01,C,,NULL
Alice,50,55000,Male,HR,Clerk,2020-02-20,C,NULL,NULL
Hannah,25,50000,NULL,IT,Analyst,2020-01-15,B,name@company.org,NULL
Alice,30,55000,Famale,Sales,Analyst,2019-03-25,B,name@company.org,NULL
Alice,40,60000,Male,Sales,Manager,2020-02-20,C,name@company.org,NULL
Bob,NULL,65000,Male,Marketing,Analyst,2020-02-20,D,email@example.com,555-555-5555
Bob,35,55000,Famale,Finance,Assistant,2020-01-15,A,NULL,NULL
Frank,NULL,50000,Famale,Finance,Analyst,2018-04-05,A,name@company.org,NULL
Grace,30,55000,Male,Marketing,Clerk,2020-02-20,C,NULL,123-456-7890
Eve,50,70000,NULL,Marketing,Clerk,2018-04-05,B,name@company.org,NULL
Alice,NULL,50000,NULL,Marketing,Director,2018-04-05,D,,NULL
Alice,25,60000,NULL,Finance,Clerk,2019-12-01,C,,123-456-7890
Charlie,30,65000,Male,Marketing,Analyst,2020-01-15,A,,NULL
Bob,50,55000,Famale,HR,Clerk,2018-04-05,F,user@domain.com,098-765-4321
Eve,35,50000,Male,Sales,Manager,2020-01-15,B,name@company.org,098-765-4321
Jack,50,70000,Famale,Sales,Clerk,2019-12-01,F,user@domain.com,NULL
Frank,25,50000,NULL,IT,Assistant,2020-01-15,C,NULL,NULL
Grace,30,NULL,NULL,IT,Manager,2020-02-20,A,user@domain.com,098-765-4321
David,35,70000,Famale,Sales,Director,2018-04-05,D,NULL,555-555-5555
Grace,25,60000,Famale,HR,Assistant,2020-01-15,F,NULL,555-555-5555
Hannah,50,65000,Male,Finance,Analyst,2019-03-25,D,NULL,123-456-7890
Alice,25,60000,NULL,Finance,Analyst,2020-01-15,A,user@domain.com,NULL
Frank,30,55000,Male,HR,Analyst,2018-04-05,F,name@company.org,NULL
Hannah,40,50000,Male,Finance,Assistant,2019-12-01,D,user@domain.com,098-765-4321
Eve,25,NULL,Male,Marketing,Assistant,2019-12-01,D,name@company.org,NULL
David,25,70000,NULL,Sales,Assistant,2018-04-05,F,name@company.org,NULL
Bob,50,70000,Male,Sales,Manager,2020-02-20,A,NULL,098-765-4321
Frank,50,50000,Male,HR,Manager,2020-02-20,D,user@domain.com,098-765-4321
Frank,35,NULL,Male,Finance,Analyst,2019-12-01,C,name@company.org,NULL
Alice,50,50000,Male,IT,Clerk,2019-12-01,F,,098-765-4321
Ivy,NULL,55000,Male,IT,Analyst,2018-04-05,B,name@company.org,123-456-7890
Frank,30,60000,Male,Finance,Director,2020-02-20,B,,123-456-7890
Charlie,30,70000,NULL,IT,Manager,2019-12-01,A,user@domain.com,NULL
David,40,55000,Male,HR,Assistant,2020-02-20,C,user@domain.com,NULL
David,40,60000,Famale,HR,Manager,2019-12-01,D,user@domain.com,123-456-7890
Charlie,30,55000,Male,Finance,Assistant,2020-01-15,B,name@company.org,123-456-7890
Jack,40,NULL,Male,IT,Director,2019-03-25,A,email@example.com,NULL
Charlie,35,70000,NULL,HR,Director,2020-01-15,C,name@company.org,555-555-5555
Charlie,50,50000,NULL,HR,Manager,2019-12-01,C,name@company.org,098-765-4321
David,30,50000,Famale,Marketing,Assistant,2019-03-25,A,NULL,123-456-7890
Grace,40,60000,Famale,Marketing,Director,2019-03-25,A,NULL,555-555-5555
David,30,65000,NULL,HR,Analyst,2019-12-01,D,name@company.org,NULL
Ivy,NULL,NULL,NULL,Finance,Analyst,2019-12-01,A,,555-555-5555
Alice,25,60000,Male,Sales,Assistant,2020-02-20,D,NULL,NULL
Hannah,50,65000,NULL,Sales,Manager,2019-12-01,D,name@company.org,NULL
Grace,30,55000,Famale,HR,Director,2018-04-05,F,email@example.com,NULL
Bob,25,NULL,Male,HR,Manager,2019-12-01,C,,555-555-5555
Hannah,40,55000,Famale,HR,Analyst,2018-04-05,C,user@domain.com,NULL
Alice,25,70000,Male,Finance,Director,2019-12-01,C,name@company.org,123-456-7890
Ivy,50,NULL,NULL,Marketing,Manager,2020-02-20,F,name@company.org,555-555-5555
Ivy,30,65000,Famale,HR,Clerk,2018-04-05,D,,123-456-7890
Bob,NULL,70000,Male,HR,Assistant,2020-01-15,D,NULL,555-555-5555
Grace,40,50000,Male,IT,Assistant,2018-04-05,A,NULL,123-456-7890
Jack,30,65000,NULL,Finance,Clerk,2020-02-20,F,NULL,555-555-5555
Charlie,50,60000,NULL,HR,Analyst,2018-04-05,A,user@domain.com,NULL
Grace,40,50000,NULL,IT,Director,2019-12-01,F,,098-765-4321
Jack,35,50000,Famale,Sales,Assistant,2019-12-01,A,,NULL
Ivy,25,60000,Male,HR,Clerk,2020-02-20,B,NULL,123-456-7890
David,50,NULL,NULL,HR,Clerk,2019-03-25,C,NULL,NULL
Alice,35,50000,Famale,IT,Analyst,2019-12-01,C,email@example.com,NULL
Bob,30,65000,Famale,Finance,Analyst,2020-01-15,D,email@example.com,098-765-4321
Alice,NULL,70000,Famale,HR,Manager,2020-02-20,B,name@company.org,123-456-7890
Eve,40,50000,NULL,Sales,Assistant,2018-04-05,C,name@company.org,NULL
Eve,25,65000,NULL,HR,Manager,2018-04-05,D,,555-555-5555
Grace,40,55000,Male,Sales,Clerk,2020-01-15,B,,NULL
Ivy,30,65000,Male,Marketing,Director,2019-12-01,C,user@domain.com,123-456-7890
Ivy,40,70000,NULL,Marketing,Director,2020-02-20,A,user@domain.com,NULL
Charlie,25,65000,Famale,Sales,Analyst,2020-01-15,F,email@example.com,123-456-7890
Charlie,30,60000,Famale,Finance,Director,2019-12-01,B,name@company.org,555-555-5555
Charlie,40,70000,Famale,HR,Director,2020-02-20,D,email@example.com,098-765-4321
David,NULL,NULL,Male,HR,Director,2018-04-05,B,email@example.com,NULL
Hannah,50,55000,Famale,Marketing,Clerk,2020-02-20,D,name@company.org,123-456-7890
Frank,30,60000,Male,Sales,Director,2019-03-25,B,user@domain.com,123-456-7890
Hannah,50,NULL,Male,HR,Director,2020-02-20,D,name@company.org,123-456-7890
Alice,30,65000,Famale,HR,Director,2019-03-25,C,NULL,098-765-4321
Hannah,NULL,70000,Famale,Finance,Manager,2020-02-20,A,NULL,123-456-7890
David,50,55000,NULL,IT,Clerk,2019-03-25,C,NULL,NULL
Alice,35,60000,NULL,Marketing,Analyst,2018-04-05,A,,NULL
Hannah,25,NULL,Famale,Marketing,Manager,2019-12-01,C,user@domain.com,123-456-7890
David,35,NULL,Male,IT,Assistant,2019-03-25,C,user@domain.com,NULL
Frank,40,55000,Male,HR,Clerk,2019-03-25,B,,NULL
Hannah,NULL,65000,Male,Finance,Clerk,2018-04-05,F,email@example.com,NULL
David,35,55000,Male,Finance,Assistant,2019-03-25,D,NULL,123-456-7890
Charlie,30,NULL,Male,Marketing,Assistant,2020-01-15,D,NULL,555-555-5555
Ivy,40,50000,NULL,Finance,Assistant,2018-04-05,D,email@example.com,NULL
Charlie,40,60000,Famale,IT,Analyst,2020-01-15,A,name@company.org,098-765-4321
Ivy,35,55000,NULL,HR,Director,2018-04-05,D,name@company.org,123-456-7890
Bob,35,NULL,Male,IT,Clerk,2019-03-25,D,user@domain.com,098-765-4321
Bob,NULL,65000,Male,Sales,Director,2020-01-15,B,,555-555-5555
Bob,25,NULL,Male,Marketing,Director,2019-03-25,C,user@domain.com,098-765-4321
